"Name of institution";"Type of institution - 1. Level";"Type of institution - 2. Level";"Type of institution - 3. Level";"Address main location: Street No.";"Address main location: Postal code";"Address main location: City";"Web address";"Count of employees [1]";"Foundation year";Twitter;"Profile text";"Secondary locations";"Keywords [2]"
"acatech – Deutsche Akademie der Technikwissenschaften e. V.";"FuE-unterstützende Organisationen und Einrichtungen";Akademien;;"Karolinenplatz 4";80333;München;www.acatech.de;219;2002;https://twitter.com/https://x.com/acatech_de;"acatech berät Politik und Gesellschaft, unterstützt die innovationspolitische Willensbildung und vertritt die Technikwissenschaften international. Ihren von Bund und Ländern erteilten Beratungsauftrag erfüllt die Akademie unabhängig, wissenschaftsbasiert und gemeinwohlorientiert. acatech verdeutlicht Chancen und Herausforderungen technologischer Entwicklungen und setzt sich dafür ein, dass aus Ideen Innovationen und aus Innovationen Wohlstand, Wohlfahrt und Lebensqualität erwachsen. acatech bringt Wissenschaft und Wirtschaft zusammen.";"Berlin, Brüssel";
"accadis Hochschule Bad Homburg";Hochschulen;Fachhochschulen/HAW;"privat, staatlich anerkannt";"SÜDCAMPUS Bad Homburg Am Weidenring 4";61352;"Bad Homburg";www.accadis.com/contact.aspx;;1980;;;;
"AddF – Archiv der deutschen Frauenbewegung Forschungsinstitut und Dokumentationszentrum";"Landeseinrichtungen mit FuE-Aufgaben";"Landeseinrichtungen mit FuE-Aufgaben";Hessen;"Gottschalkstraße 57";34127;Kassel;www.addf-kassel.de;11;1983;https://twitter.com/https://x.com/addf_kassel;"Das AddF dokumentiert und erforscht die Geschichte aller Flügel der Frauenbewegung in Deutschland im 19. und 20. Jahrhundert. Hierfür wurde eine der größten Sammlungen zur Frauenbewegungsgeschichte zwischen 1800 und 1970 aufgebaut. Das AddF umfasst eine Spezialbibliothek, ein stetig wachsendes Archiv und ein Forschungsinstitut. Die bereitgehaltenen Materialien bilden den Ausgangspunkt für eigene Forschungsarbeiten sowie die Vermittlung und Präsentation von Forschungsergebnissen aus dem Bereich der Frauen- und Geschlechtergeschichte. Mit diesem Zuschnitt ist das AddF deutschlandweit einzigartig und leistet einen wichtigen Beitrag sowohl in der Forschung als auch in der öffentlichen Vermittlung.";;"Geschichte und Archäologie"
"AiF Projekt GmbH";"FuE-unterstützende Organisationen und Einrichtungen";Projektträger;;"Tschaikowskistraße 49";13156;Berlin;www.aif-projekt-gmbh.de;140;;;"Die AiF Projekt GmbH, eine hundertprozentige Tochter des AiF e. V., steht mit ihrer Expertise aus mehr als drei Jahrzehnten Projektträgerarbeit in der mittelstandsorientierten Innovationsförderung des Bundes ihren öffentlichen Auftraggebern, innovationsbereiten Unternehmen und deren Forschungspartnern zur Seite. Als beliehener Projektträger des Bundesministeriums für Wirtschaft und Klimaschutz (BMWK) betreut sie die Förderung von FuE-Kooperationsprojekten im Zentralen Innovationsprogramm Mittelstand (ZIM) und unterstützt bei der Anbahnung und Durchführung transnationaler Projekte. Im Auftrag des Bundesministeriums für Bildung und Forschung (BMBF) prüft die AiF Projekt GmbH gemeinsam mit ihren Partnern als „Bescheinigungsstelle Forschungszulage“ die inhaltlichen Voraussetzungen für die steuerliche Begünstigung von Forschungsausgaben.";;
"AKAD Hochschule Stuttgart - staatlich anerkannt";Hochschulen;Fachhochschulen/HAW;"privat, staatlich anerkannt";"Heilbronner Str. 86";70191;Stuttgart;www.akad.de;;1959;;;;
"Akademie der Bildenden Künste München";Hochschulen;"Künstlerische Hochschulen";öffentlich-rechtlich;"Akademiestraße 2-4";80799;München;www.adbk.de;;1808;;;;
"Akademie der Bildenden Künste Nürnberg";Hochschulen;"Künstlerische Hochschulen";öffentlich-rechtlich;"Bingstraße 60";90480;Nürnberg;www.adbk-nuernberg.de;;1662;;;;
"Akademie der Polizei Hamburg";Hochschulen;Verwaltungshochschulen;öffentlich-rechtlich;"Carl-Cohn-Straße 39";22297;Hamburg;akademie-der-polizei.hamburg.de;;2013;;;;
"Akademie der Wissenschaften in Hamburg";"FuE-unterstützende Organisationen und Einrichtungen";Akademien;;"Edmund-Siemers-Allee 1";20146;Hamburg;www.awhamburg.de;;2004;https://twitter.com/https://x.com/awhamburg;"Der Akademie der Wissenschaften in Hamburg gehören herausragende Wissenschaftlerinnen und Wissenschaftler aller Disziplinen aus Norddeutschland an. Sie trägt dazu bei, die Zusammenarbeit zwischen Fächern, Hochschulen und anderen wissenschaftlichen Institutionen zu intensivieren. Sie fördert Forschungen zu gesellschaftlich bedeutenden Zukunftsfragen und wissenschaftlichen Grundlagenproblemen und macht es sich zur besonderen Aufgabe, Impulse für den Dialog zwischen Wissenschaft und Öffentlichkeit zu setzen. Die Grundausstattung der Akademie wird finanziert von der Freien und Hansestadt Hamburg. Die Akademie der Wissenschaften in Hamburg ist Mitglied in der Union der deutschen Akademien der Wissenschaften.";;
"Akademie der Wissenschaften und der Literatur, Mainz";"FuE-unterstützende Organisationen und Einrichtungen";Akademien;;"Geschwister-Scholl-Straße 2";55131;Mainz;www.adwmainz.de;234;1949;https://twitter.com/https://x.com/adwmainz;"Die Akademie der Wissenschaften und der Literatur trägt zur Bewahrung und Förderung des kulturellen Erbes bei. Sie ist eine überregional ausgerichtete Vereinigung von Persönlichkeiten aus Wissenschaft, Literatur und Musik. Im Mittelpunkt steht der interdisziplinäre Austausch zwischen den Fächern. Einer ihrer Arbeitsschwerpunkte ist die geisteswissenschaftliche Grundlagenforschung, die von etwa 200 Wissenschaftlerinnen und Wissenschaftlern in rund 40 bundesweit angesiedelten Projekten realisiert wird. 2016 wurde eine Junge Akademie gegründet, deren 50 Mitglieder jeweils für die Dauer von drei Jahren gewählt sind.";;
