"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","SAP","SAP","239565520896","201.59","Germany"
"2","Siemens","SIE.DE","136660474964","173.005","Germany"
"3","Deutsche Telekom","DTE.DE","132926436022","26.6995","Germany"
"4","Allianz","ALV.DE","108153917552","276.284","Germany"
"5","Merck KGaA","MRK.DE","77689839213","178.689","Germany"
"6","Mercedes-Benz","MBG.DE","67534377967","63.1257","Germany"
"7","Porsche","P911.DE","66109726496","72.5683","Germany"
"8","Munich RE (Münchener Rück)","MUV2.DE","63400779821","473.989","Germany"
"9","Siemens Healthineers","SHL.DE","59632616498","53.3115","Germany"
"10","BMW","BMW.DE","55357220651","87.235","Germany"
"11","Volkswagen","VOW3.DE","54201047432","102.492","Germany"
"12","DHL Group (Deutsche Post)","DHL.DE","46993967563","39.7923","Germany"
"13","Infineon","IFX.DE","42698132004","32.9126","Germany"
"14","Adidas","ADS.DE","41583379864","232.896","Germany"
"15","BASF","BAS.DE","40217137801","45.0601","Germany"
"16","Deutsche Börse","DB1.DE","36533956407","198.962","Germany"
"17","E.ON","EOAN.DE","34879219410","13.3552","Germany"
"18","Henkel","HEN3.DE","33418209784","84.5027","Germany"
"19","Beiersdorf","BEI.DE","31072963287","136.995","Germany"
"20","Hapag-Lloyd","HLAG.DE","29408586142","167.322","Germany"
"21","Daimler Truck","DTG.F","29045161268","36.2295","Germany"
"22","Hannover Rück","HNR1.DE","28218380310","233.989","Germany"
"23","Bayer","BAYN.DE","28125242195","28.6284","Germany"
"24","Deutsche Bank","DB","27743512576","14.08","Germany"
"25","RWE","RWE.DE","25875911484","34.7869","Germany"
"26","Vonovia","VNA.DE","25414016979","30.8852","Germany"
"27","Rheinmetall","RHM.F","23811925893","546.667","Germany"
"28","Siemens Energy","ENR.F","20437885062","25.7923","Germany"
"29","Fresenius","FRE.DE","18983856542","33.7049","Germany"
"30","BioNTech","BNTX","18842955776","79.25","Germany"
"31","EnBW Energie","EBK.DE","18589830295","68.6339","Germany"
"32","Uniper","UN0.DE","18329452275","44.0109","Germany"
"33","Talanx","TLX.DE","18174805893","70.3825","Germany"
"34","HeidelbergCement","HEI.DE","17404413202","96.0874","Germany"
"35","Symrise","SY1.DE","16726812817","119.672","Germany"
"36","Commerzbank","CBK.F","16215626422","13.6448","Germany"
"37","Sartorius","SRT.DE","16111147086","208.087","Germany"
"38","MTU Aero Engines","MTX.DE","15196890789","282.623","Germany"
"39","Traton","8TRA.DE","14590164634","29.1803","Germany"
"40","Porsche SE","PAH3.DE","12932786501","42.2295","Germany"
"41","Continental","CON.DE","12686719860","63.4317","Germany"
"42","Knorr-Bremse","KBX.DE","12429137416","77.1038","Germany"
"43","Covestro","1COV.F","10940731593","57.9672","Germany"
"44","Nemetschek","NEM.F","10830492118","93.7705","Germany"
"45","Fresenius Medical Care","FMS","10690619392","18.12","Germany"
"46","Rational AG","RAA.F","10562295082","928.962","Germany"
"47","Birkenstock","BIRK","10377551872","55.25","Germany"
"48","HELLA","HLE.F","10370190129","93.1148","Germany"
"49","Brenntag","BNR.DE","10092747681","69.9016","Germany"
"50","Evonik Industries","EVK.DE","9223235148","19.7923","Germany"
"51","Hochtief","HOT.F","8690642116","115.519","Germany"
"52","Deutsche Wohnen","DWNI.DE","8372508817","21.0929","Germany"
"53","CTS Eventim","EVD.F","8035992761","83.7158","Germany"
"54","Lufthansa","LHA.DE","7310498273","6.10929","Germany"
"55","GEA Group","G1A.F","7271019436","42.9727","Germany"
"56","DWS Group","DWS.F","7103824857","35.5191","Germany"
"57","LEG Immobilien","LEG.DE","6566355235","88.1749","Germany"
"58","Zalando","ZAL.DE","6408486330","24.6011","Germany"
"59","Delivery Hero","DHER.F","6299016254","22.6448","Germany"
"60","Carl Zeiss Meditec","AFXA.F","5913832219","66.1202","Germany"
"61","PUMA","PUM.DE","5812020879","38.7869","Germany"
"62","Scout24","G24.F","5788239458","77.9781","Germany"
"63","SCHOTT Pharma","1SXP.DE","5402387305","35.8689","Germany"
"64","Bechtle","BC8.F","5387016114","42.7541","Germany"
"65","Fuchs Petrolub","FPE.F","5022164914","34.153","Germany"
"66","KION Group","KGX.DE","4764924922","36.3388","Germany"
"67","Wacker Chemie","WCH.F","4589921364","92.3934","Germany"
"68","Fraport","FRA.DE","4432762824","47.9781","Germany"
"69","Hensoldt","HAG.F","4271606487","36.9836","Germany"
"70","Krones","KRN.F","4046679012","128.087","Germany"
"71","DMG Mori","GIL.F","3781482877","47.6503","Germany"
"72","Fielmann","FIE.F","3721363982","44.0871","Germany"
"73","Gerresheimer","GXI.F","3667299602","105.902","Germany"
"74","Ströer","SAX.F","3643739768","65.4098","Germany"
